assignee,split,video_path,label_name,start_time,end_time,confidence,source_type,source_file,label_id
lrx,ucf_manual,/data1/shiyuqi/UCF/PushUps/v_PushUps_g08_c01.avi,,,,,manual_todo,gt/ucf/mapping_video_to_annotator.csv,
lrx,ucf_manual,/data1/shiyuqi/UCF/PushUps/v_PushUps_g08_c02.avi,,,,,manual_todo,gt/ucf/mapping_video_to_annotator.csv,
lrx,ucf_manual,/data1/shiyuqi/UCF/PushUps/v_PushUps_g08_c03.avi,,,,,manual_todo,gt/ucf/mapping_video_to_annotator.csv,
lrx,ucf_manual,/data1/shiyuqi/UCF/PushUps/v_PushUps_g08_c04.avi,,,,,manual_todo,gt/ucf/mapping_video_to_annotator.csv,
lrx,ucf_manual,/data1/shiyuqi/UCF/PushUps/v_PushUps_g09_c01.avi,,,,,manual_todo,gt/ucf/mapping_video_to_annotator.csv,
lrx,ucf_manual,/data1/shiyuqi/UCF/PushUps/v_PushUps_g09_c02.avi,,,,,manual_todo,gt/ucf/mapping_video_to_annotator.csv,
lrx,ucf_manual,/data1/shiyuqi/UCF/PushUps/v_PushUps_g09_c03.avi,,,,,manual_todo,gt/ucf/mapping_video_to_annotator.csv,
lrx,ucf_manual,/data1/shiyuqi/UCF/PushUps/v_PushUps_g09_c04.avi,,,,,manual_todo,gt/ucf/mapping_video_to_annotator.csv,
lrx,ucf_manual,/data1/shiyuqi/UCF/PushUps/v_PushUps_g10_c01.avi,,,,,manual_todo,gt/ucf/mapping_video_to_annotator.csv,
lrx,ucf_manual,/data1/shiyuqi/UCF/PushUps/v_PushUps_g10_c02.avi,,,,,manual_todo,gt/ucf/mapping_video_to_annotator.csv,
lrx,ucf_manual,/data1/shiyuqi/UCF/PushUps/v_PushUps_g10_c03.avi,,,,,manual_todo,gt/ucf/mapping_video_to_annotator.csv,
lrx,ucf_manual,/data1/shiyuqi/UCF/PushUps/v_PushUps_g10_c04.avi,,,,,manual_todo,gt/ucf/mapping_video_to_annotator.csv,
lrx,ucf_manual,/data1/shiyuqi/UCF/PushUps/v_PushUps_g11_c01.avi,,,,,manual_todo,gt/ucf/mapping_video_to_annotator.csv,
lrx,ucf_manual,/data1/shiyuqi/UCF/PushUps/v_PushUps_g11_c02.avi,,,,,manual_todo,gt/ucf/mapping_video_to_annotator.csv,
lrx,ucf_manual,/data1/shiyuqi/UCF/PushUps/v_PushUps_g11_c03.avi,,,,,manual_todo,gt/ucf/mapping_video_to_annotator.csv,
lrx,ucf_manual,/data1/shiyuqi/UCF/JumpingJack/v_JumpingJack_g06_c06.avi,,,,,manual_todo,gt/ucf/mapping_video_to_annotator.csv,
lrx,ucf_manual,/data1/shiyuqi/UCF/JumpingJack/v_JumpingJack_g06_c07.avi,,,,,manual_todo,gt/ucf/mapping_video_to_annotator.csv,
lrx,ucf_manual,/data1/shiyuqi/UCF/JumpingJack/v_JumpingJack_g07_c01.avi,,,,,manual_todo,gt/ucf/mapping_video_to_annotator.csv,
lrx,ucf_manual,/data1/shiyuqi/UCF/JumpingJack/v_JumpingJack_g07_c02.avi,,,,,manual_todo,gt/ucf/mapping_video_to_annotator.csv,
lrx,ucf_manual,/data1/shiyuqi/UCF/JumpingJack/v_JumpingJack_g07_c03.avi,,,,,manual_todo,gt/ucf/mapping_video_to_annotator.csv,
lrx,ucf_manual,/data1/shiyuqi/UCF/JumpingJack/v_JumpingJack_g07_c04.avi,,,,,manual_todo,gt/ucf/mapping_video_to_annotator.csv,
lrx,ucf_manual,/data1/shiyuqi/UCF/JumpingJack/v_JumpingJack_g07_c05.avi,,,,,manual_todo,gt/ucf/mapping_video_to_annotator.csv,
lrx,ucf_manual,/data1/shiyuqi/UCF/JumpingJack/v_JumpingJack_g08_c01.avi,,,,,manual_todo,gt/ucf/mapping_video_to_annotator.csv,
lrx,ucf_manual,/data1/shiyuqi/UCF/JumpingJack/v_JumpingJack_g08_c02.avi,,,,,manual_todo,gt/ucf/mapping_video_to_annotator.csv,
lrx,ucf_manual,/data1/shiyuqi/UCF/JumpingJack/v_JumpingJack_g08_c03.avi,,,,,manual_todo,gt/ucf/mapping_video_to_annotator.csv,
lrx,ucf_manual,/data1/shiyuqi/UCF/JumpingJack/v_JumpingJack_g08_c04.avi,,,,,manual_todo,gt/ucf/mapping_video_to_annotator.csv,
lrx,ucf_manual,/data1/shiyuqi/UCF/JumpingJack/v_JumpingJack_g09_c01.avi,,,,,manual_todo,gt/ucf/mapping_video_to_annotator.csv,
lrx,ucf_manual,/data1/shiyuqi/UCF/JumpingJack/v_JumpingJack_g09_c02.avi,,,,,manual_todo,gt/ucf/mapping_video_to_annotator.csv,
lrx,ucf_manual,/data1/shiyuqi/UCF/JumpingJack/v_JumpingJack_g09_c03.avi,,,,,manual_todo,gt/ucf/mapping_video_to_annotator.csv,
lrx,ucf_manual,/data1/shiyuqi/UCF/JumpingJack/v_JumpingJack_g09_c04.avi,,,,,manual_todo,gt/ucf/mapping_video_to_annotator.csv,
