assignee,video_path,video_key,class_name,start_frame,end_frame,fps,frame_count,frames_dir,notes
syq,/data1/shiyuqi/UCF/PushUps/v_PushUps_g01_c01.avi,PushUps__v_PushUps_g01_c01,push_up,,,25.0,56,/home/shiyuqi/posedetect/outputs/ucf_frame_labeling/frames/PushUps__v_PushUps_g01_c01,
syq,/data1/shiyuqi/UCF/PushUps/v_PushUps_g01_c02.avi,PushUps__v_PushUps_g01_c02,push_up,,,25.0,53,/home/shiyuqi/posedetect/outputs/ucf_frame_labeling/frames/PushUps__v_PushUps_g01_c02,
syq,/data1/shiyuqi/UCF/PushUps/v_PushUps_g01_c03.avi,PushUps__v_PushUps_g01_c03,push_up,,,25.0,51,/home/shiyuqi/posedetect/outputs/ucf_frame_labeling/frames/PushUps__v_PushUps_g01_c03,
syq,/data1/shiyuqi/UCF/PushUps/v_PushUps_g01_c04.avi,PushUps__v_PushUps_g01_c04,push_up,,,25.0,104,/home/shiyuqi/posedetect/outputs/ucf_frame_labeling/frames/PushUps__v_PushUps_g01_c04,
syq,/data1/shiyuqi/UCF/PushUps/v_PushUps_g01_c05.avi,PushUps__v_PushUps_g01_c05,push_up,,,25.0,63,/home/shiyuqi/posedetect/outputs/ucf_frame_labeling/frames/PushUps__v_PushUps_g01_c05,
syq,/data1/shiyuqi/UCF/PushUps/v_PushUps_g02_c01.avi,PushUps__v_PushUps_g02_c01,push_up,,,25.0,67,/home/shiyuqi/posedetect/outputs/ucf_frame_labeling/frames/PushUps__v_PushUps_g02_c01,
syq,/data1/shiyuqi/UCF/PushUps/v_PushUps_g02_c02.avi,PushUps__v_PushUps_g02_c02,push_up,,,25.0,73,/home/shiyuqi/posedetect/outputs/ucf_frame_labeling/frames/PushUps__v_PushUps_g02_c02,
syq,/data1/shiyuqi/UCF/PushUps/v_PushUps_g02_c03.avi,PushUps__v_PushUps_g02_c03,push_up,,,25.0,79,/home/shiyuqi/posedetect/outputs/ucf_frame_labeling/frames/PushUps__v_PushUps_g02_c03,
syq,/data1/shiyuqi/UCF/PushUps/v_PushUps_g02_c04.avi,PushUps__v_PushUps_g02_c04,push_up,,,25.0,84,/home/shiyuqi/posedetect/outputs/ucf_frame_labeling/frames/PushUps__v_PushUps_g02_c04,
syq,/data1/shiyuqi/UCF/PushUps/v_PushUps_g03_c01.avi,PushUps__v_PushUps_g03_c01,push_up,,,25.0,72,/home/shiyuqi/posedetect/outputs/ucf_frame_labeling/frames/PushUps__v_PushUps_g03_c01,
syq,/data1/shiyuqi/UCF/PushUps/v_PushUps_g03_c02.avi,PushUps__v_PushUps_g03_c02,push_up,,,25.0,63,/home/shiyuqi/posedetect/outputs/ucf_frame_labeling/frames/PushUps__v_PushUps_g03_c02,
syq,/data1/shiyuqi/UCF/PushUps/v_PushUps_g03_c03.avi,PushUps__v_PushUps_g03_c03,push_up,,,25.0,63,/home/shiyuqi/posedetect/outputs/ucf_frame_labeling/frames/PushUps__v_PushUps_g03_c03,
syq,/data1/shiyuqi/UCF/PushUps/v_PushUps_g03_c04.avi,PushUps__v_PushUps_g03_c04,push_up,,,25.0,72,/home/shiyuqi/posedetect/outputs/ucf_frame_labeling/frames/PushUps__v_PushUps_g03_c04,
syq,/data1/shiyuqi/UCF/PushUps/v_PushUps_g04_c01.avi,PushUps__v_PushUps_g04_c01,push_up,,,25.0,91,/home/shiyuqi/posedetect/outputs/ucf_frame_labeling/frames/PushUps__v_PushUps_g04_c01,
syq,/data1/shiyuqi/UCF/PushUps/v_PushUps_g04_c02.avi,PushUps__v_PushUps_g04_c02,push_up,,,25.0,97,/home/shiyuqi/posedetect/outputs/ucf_frame_labeling/frames/PushUps__v_PushUps_g04_c02,
