assignee,split,video_path,label_name,start_time,end_time,confidence,source_type,source_file,label_id
szh,test,dataset/JumpingJack/1039.avi,jumping_jack,0.0,0.9666666666666666,0.6878698468208313,pseudo,outputs/pseudo_labels_roi/penn/test_tal.csv,2
szh,test,dataset/PushUps/1348.avi,push_up,0.0,0.9666666666666666,0.8570376634597778,manual_refined,outputs/pseudo_labels_roi/penn/test_tal.csv,1
szh,test,dataset/PushUps/1380.avi,push_up,0.0,1.4333333333333333,0.8615846633911133,manual_refined,outputs/pseudo_labels_roi/penn/test_tal.csv,1
szh,test,dataset/PushUps/1405.avi,push_up,0.0,1.0666666666666666,0.5835890173912048,manual_refined,outputs/pseudo_labels_roi/penn/test_tal.csv,1
szh,test,dataset/PushUps/1473.avi,push_up,0.0,1.4666666666666666,0.9696568846702576,manual_refined,outputs/pseudo_labels_roi/penn/test_tal.csv,1
szh,test,dataset/PushUps/1503.avi,push_up,0.0,3.2,0.697946310043335,manual_refined,outputs/pseudo_labels_roi/penn/test_tal.csv,1
szh,test,dataset/PushUps/1551.avi,push_up,0.0,1.8333333333333333,0.6939719915390015,manual_refined,outputs/pseudo_labels_roi/penn/test_tal.csv,1
szh,train,dataset/JumpingJack/1060.avi,jumping_jack,0.0666666666666666,0.9333333333333333,0.5879733562469482,manual_refined,outputs/pseudo_labels_roi/penn/train_tal.csv,2
szh,train,dataset/JumpingJack/1087.avi,jumping_jack,0.0666666666666666,1.0333333333333333,0.5787855386734009,manual_refined,outputs/pseudo_labels_roi/penn/train_tal.csv,2
szh,train,dataset/PushUps/1434.avi,push_up,0.0,1.1333333333333333,0.8028246164321899,manual_refined,outputs/pseudo_labels_roi/penn/train_tal.csv,1
szh,train,dataset/PushUps/1467.avi,push_up,0.9333333333333332,6.3,0.9117454290390016,manual_refined,outputs/pseudo_labels_roi/penn/train_tal.csv,1
szh,train,dataset/PushUps/1528.avi,push_up,0.0666666666666666,1.8333333333333333,0.7784218192100525,manual_refined,outputs/pseudo_labels_roi/penn/train_tal.csv,1
